Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,,,,
1,BANKNIFTY25NOV2557700PE,175,BUY,418.95,10/29/2025 9:46,SELL,418.7,10/29/2025 9:46,-43.75,,,,
1,BANKNIFTY25NOV2558700CE,175,BUY,675.25,10/29/2025 9:46,SELL,675,10/29/2025 9:46,-43.75,Total profit =18832,,,
1,BANKNIFTY25NOV2558700PE,175,BUY,817.1,10/29/2025 9:46,SELL,816.85,10/29/2025 9:47,-43.75,investment =3lakh ,,,
1,BANKNIFTY25NOV2557700CE,175,BUY,1262.65,10/29/2025 9:46,SELL,1268.25,10/29/2025 9:47,980,open your demate accoutn click on link,,,
2,BANKNIFTY25NOV2557700PE,175,BUY,413.85,10/29/2025 9:47,SELL,413.6,10/29/2025 9:47,-43.75,,,,
2,BANKNIFTY25NOV2558700CE,175,BUY,677.2,10/29/2025 9:47,SELL,676.95,10/29/2025 9:47,-43.75,,,,
2,BANKNIFTY25NOV2557700CE,175,BUY,1268.25,10/29/2025 9:47,SELL,1270.6,10/29/2025 9:47,411.25,,,,
2,BANKNIFTY25NOV2558700PE,175,BUY,809.5,10/29/2025 9:47,SELL,812,10/29/2025 9:47,437.5,,,,
3,BANKNIFTY25NOV2557700PE,175,BUY,413.95,10/29/2025 9:47,SELL,413.7,10/29/2025 9:47,-43.75,,,,
3,BANKNIFTY25NOV2557700CE,175,BUY,1270.6,10/29/2025 9:47,SELL,1270.35,10/29/2025 9:47,-43.75,,,,
3,BANKNIFTY25NOV2558700CE,175,BUY,677,10/29/2025 9:47,SELL,676.75,10/29/2025 9:47,-43.75,,,,
3,BANKNIFTY25NOV2558700PE,175,BUY,812,10/29/2025 9:47,SELL,811.75,10/29/2025 9:47,-43.75,,,,
4,BANKNIFTY25NOV2557700PE,175,BUY,416.4,10/29/2025 9:47,SELL,420.6,10/29/2025 9:47,735,,,,
4,BANKNIFTY25NOV2558700CE,175,BUY,671.05,10/29/2025 9:47,SELL,672.2,10/29/2025 9:47,201.25,,,,
4,BANKNIFTY25NOV2558700PE,175,BUY,814.5,10/29/2025 9:47,SELL,820.25,10/29/2025 9:47,1006.25,,,,
4,BANKNIFTY25NOV2557700CE,175,BUY,1265.95,10/29/2025 9:47,SELL,1265.95,10/29/2025 9:47,0,,,,
5,BANKNIFTY25NOV2558700CE,175,BUY,672.2,10/29/2025 9:47,SELL,671.95,10/29/2025 9:47,-43.75,,,,
5,BANKNIFTY25NOV2557700CE,175,BUY,1265.95,10/29/2025 9:47,SELL,1265.7,10/29/2025 9:48,-43.75,,,,
5,BANKNIFTY25NOV2557700PE,175,BUY,423.6,10/29/2025 9:47,SELL,423.35,10/29/2025 9:47,-43.75,,,,
5,BANKNIFTY25NOV2558700PE,175,BUY,827.1,10/29/2025 9:47,SELL,826.85,10/29/2025 9:47,-43.75,,,,
6,BANKNIFTY25NOV2558600CE,175,BUY,710.85,10/29/2025 9:48,SELL,710.6,10/29/2025 9:48,-43.75,,,,
6,BANKNIFTY25NOV2557600CE,175,BUY,1336,10/29/2025 9:48,SELL,1335.75,10/29/2025 9:48,-43.75,,,,
6,BANKNIFTY25NOV2558600PE,175,BUY,785.2,10/29/2025 9:48,SELL,784.95,10/29/2025 9:48,-43.75,,,,
6,BANKNIFTY25NOV2557600PE,175,BUY,401,10/29/2025 9:48,SELL,400.75,10/29/2025 9:48,-43.75,,,,
7,BANKNIFTY25NOV2557600PE,175,BUY,402,10/29/2025 9:48,SELL,402,10/29/2025 9:48,0,,,,
7,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1314.4,10/29/2025 9:48,0,,,,
7,BANKNIFTY25NOV2558600PE,175,BUY,783.05,10/29/2025 9:48,SELL,788.75,10/29/2025 9:48,997.5,,,,
7,BANKNIFTY25NOV2558600CE,175,BUY,713.25,10/29/2025 9:48,SELL,713.25,10/29/2025 9:48,0,,,,
8,BANKNIFTY25NOV2558600PE,175,BUY,788.75,10/29/2025 9:48,SELL,792.85,10/29/2025 9:48,717.5,,,,
8,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1314.4,10/29/2025 9:48,0,,,,
8,BANKNIFTY25NOV2557600PE,175,BUY,402,10/29/2025 9:48,SELL,402.75,10/29/2025 9:48,131.25,,,,
8,BANKNIFTY25NOV2558600CE,175,BUY,713.25,10/29/2025 9:48,SELL,713,10/29/2025 9:48,-43.75,,,,
9,BANKNIFTY25NOV2558600CE,175,BUY,705.05,10/29/2025 9:48,SELL,704.8,10/29/2025 9:48,-43.75,,,,
9,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1314.4,10/29/2025 9:48,0,,,,
9,BANKNIFTY25NOV2558600PE,175,BUY,793.65,10/29/2025 9:48,SELL,793.65,10/29/2025 9:48,0,,,,
9,BANKNIFTY25NOV2557600PE,175,BUY,402.75,10/29/2025 9:48,SELL,406.5,10/29/2025 9:48,656.25,,,,
10,BANKNIFTY25NOV2557600PE,175,BUY,407.4,10/29/2025 9:48,SELL,407.15,10/29/2025 9:48,-43.75,,,,
10,BANKNIFTY25NOV2558600PE,175,BUY,793.65,10/29/2025 9:48,SELL,793.4,10/29/2025 9:48,-43.75,,,,
10,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1323.9,10/29/2025 9:48,1662.5,,,,
10,BANKNIFTY25NOV2558600CE,175,BUY,701.55,10/29/2025 9:48,SELL,704.3,10/29/2025 9:48,481.25,,,,
